"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"1"	"1945"	"127"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3547"	"0"	"PIK3CA -> APC -> APC"
"1"	"1958"	"127"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3575"	"0"	"PIK3CA -> APC -> APC"
"2"	"1961"	"127"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3581"	"0"	"PIK3CA -> APC -> APC"
"20"	"1983"	"158"	"69"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 3619"	"0"	"PIK3CA -> APC -> PIK3CA -> TP53"
"1"	"1998"	"207"	"69"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 383"	"232"	"PIK3CA -> APC -> PIK3CA"
"1"	"2027"	"457"	"69"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 293, 315, 827, 3695"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> PIK3CA"
"1"	"2044"	"915"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1679, 3729"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"1"	"2060"	"1816"	"69"	0	0.5	"1 0 0 1"	"0 0 1 0"	"213, 239, 3759, 3761"	"208"	"PIK3CA -> APC -> APC -> APC"
"1"	"2062"	"1862"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 3389"	"239"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"2"	"2076"	"127"	"70"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3791"	"0"	"PIK3CA -> APC -> APC"
"1"	"2077"	"127"	"70"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3793"	"0"	"PIK3CA -> APC -> APC"
"2"	"2080"	"127"	"70"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 3799"	"0"	"PIK3CA -> APC -> TP53"
"1"	"2084"	"127"	"70"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3807"	"0"	"PIK3CA -> APC -> APC"
"2"	"2085"	"127"	"70"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3809"	"0"	"PIK3CA -> APC -> APC"
